date,channel,schedule_item,GRPs,reach,frequency
2025-06-24,Online,Radio grow author stand.,53.18,96.05,4.05
2025-05-29,Online,Where simply do.,32.95,7.32,4.98
2025-06-27,Online,Model his idea.,101.51,2.08,4.15
2025-05-12,Print,Usually audience crime like.,118.13,47.17,
2025-04-23,Radio,Mouth decide fear.,29.02,17.14,7.89
2025-04-17,Print,Social music.,84.63,57.16,1.23
2025-05-20,Online,Four long someone.,151.34,4.06,4.14
2025-05-15,TV,Region friend defense population.,162.64,64.56,7.85
2025-04-19,Online,Local shake former.,181.05,61.82,8.71
2025-05-02,TV,One wish wall house.,190.95,13.05,1.89
2025-06-05,Print,Democrat dinner identify bar.,187.08,79.67,7.03
2025-07-07,Radio,Perform event rule.,29.24,60.26,7.84
2025-04-23,TV,Main indicate the clear.,14.24,28.99,6.41
2025-04-18,Radio,Compare go.,187.19,29.91,3.83
,TV,Final form usually often.,144.53,89.17,2.52
2025-07-10,Print,Often nature several government.,192.66,18.05,3.21
2025-06-26,Online,Degree lay change.,12.31,87.14,8.01
2025-06-05,Online,Control star something second.,115.44,16.37,8.25
2025-05-28,Radio,Of play.,142.42,46.36,1.01
2025-05-11,Print,Apply party hundred money.,95.81,54.12,5.75
2025-05-13,Radio,Test pass place rule.,105.08,43.89,2.32
2025-05-31,Radio,Quickly free.,92.25,50.33,6.73
2025-07-06,Radio,Cost tree program measure.,191.59,19.74,6.18
2025-05-15,TV,Fact laugh until remember.,48.35,53.87,8.21
2025-05-30,Online,May bad about myself court.,61.14,1.66,
2025-05-04,Radio,On bar difference.,60.15,72.98,9.44
2025-06-05,Online,Speak book.,30.86,13.24,3.43
2025-06-25,Online,Heart expect few.,89.77,98.49,4.84
2025-05-29,Print,Fish because.,126.0,46.05,8.01
2025-06-15,Online,Morning brother could.,189.33,84.82,2.87
2025-06-16,Print,Camera material.,86.03,9.36,4.64
2025-06-20,Online,Large woman popular never indeed.,55.99,36.9,1.03
2025-05-15,Radio,First money instead indicate.,12.76,76.59,3.51
2025-05-18,Online,Add professor hear.,152.77,52.43,1.88
2025-04-19,Print,End not fire.,98.67,19.67,4.43
,Online,Trip material ok success.,60.07,20.6,8.08
2025-04-20,Online,Him Congress security outside.,151.88,75.26,4.68
2025-07-04,Online,Entire home shake.,18.27,23.31,8.09
2025-06-27,Print,Mission whose check thus.,47.07,89.26,8.94
2025-05-10,Print,Whom sure officer very.,147.09,26.71,7.56
2025-07-11,Radio,Article officer couple tough.,138.32,48.74,2.78
2025-06-09,TV,Pm actually.,113.11,32.55,1.78
2025-05-21,Print,Low you people.,151.64,64.37,8.38
2025-06-12,Online,Economic quickly movie.,145.68,49.37,7.59
2025-06-25,Print,Then level section.,23.19,81.19,2.34
2025-06-06,TV,Key group.,106.27,40.93,6.16
2025-04-26,Radio,Computer range.,126.93,TFuQ3Rgc,4.37
3qGDFSlT,TV,Industry this budget always turn.,99.19,,9.17
2025-05-21,Radio,Stop guy get.,62.77,61.16,3.61
2025-05-06,Print,Tell threat thank pretty.,113.59,OSUtCDWC,2.44
2025-06-24,Online,Building back.,64.8,5.0,9.17
2025-06-23,Print,Yes since someone boy direction.,167.57,37.03,4.1
2025-05-01,TV,Hope month.,193.59,64.94,2.66
2025-05-10,Radio,Bad baby issue.,38.65,5.73,3.01
2025-05-15,TV,Carry probably crime order.,22.99,43.57,8.68
2025-05-07,Online,Pick director.,130.39,54.95,8.18
2025-06-15,TV,Area law agree their.,193.04,13.52,5.22
2025-05-29,Print,Remain find.,103.68,18.0,9.04
2025-04-20,TV,Other throughout whose.,86.02,10.43,5.86
2025-06-04,TV,Store single she high.,177.63,18.15,9.11
2025-05-01,Online,Among other hotel.,127.45,87.79,7.3
2025-05-31,EmORWfVD,Successful rather one laugh.,138.2,91.38,3.16
2025-05-07,Print,Affect particularly.,49.89,72.38,4.21
2025-07-01,Online,Agent since accept still.,132.31,32.73,9.69
2025-06-07,Radio,Couple speak they boy.,132.05,26.59,1.17
2025-05-06,TV,Bar available certainly property.,70.3,42.3,7.64
2025-06-16,TV,Total hot tree as.,145.43,12.63,6.09
2025-06-27,Print,Product technology.,60.98,41.33,6.35
2025-06-10,Online,Management score worry political.,74.26,57.11,5.92
2025-04-19,Radio,Cultural knowledge station.,135.68,13.73,2.04
2025-04-19,Print,,91.02,76.69,9.87
2025-06-27,Radio,Memory else over rich effort.,46.55,16.36,9.23
2025-06-01,TV,Measure major compare how attention.,71.7,85.67,1.25
2025-04-23,Radio,Outside explain.,109.12,90.68,2.54
2025-06-18,Print,Management wrong this on.,148.23,48.12,9.87
2025-06-10,Online,Hit race rich.,66.42,52.06,8.92
2025-06-12,TV,Environmental catch place need.,103.73,52.3,7.93
2025-04-21,Online,Consider enough table.,87.88,85.22,5.31
2025-04-20,Online,Send respond whatever.,122.63,63.49,5.33
2025-04-17,Radio,Yourself exactly.,149.23,84.92,5.03
2025-06-17,Print,More ten present hear.,27.73,47.1,6.59
2025-05-04,TV,Off today animal.,56.85,91.44,4.98
2025-07-13,Online,Probably plan compare magazine.,198.45,22.77,5.47
2025-07-08,Print,Eye more whose maintain.,183.9,93.08,3.97
2025-05-29,Radio,Better we off.,153.17,92.02,2.86
2025-05-01,TV,Difference majority officer they.,91.59,80.8,9.62
2025-05-04,TV,Forward smile population.,37.86,98.52,7.95
2025-07-11,Online,Claim try.,121.17,60.2,8.89
2025-06-28,Print,Sound employee conference night.,152.35,12.87,6.68
2025-06-29,TV,Future democratic career table determine.,89.87,22.92,4.6
2025-04-17,Online,Cup paper season now.,173.24,53.4,9.9
2025-06-07,TV,Value let week.,171.32,87.31,6.2
2025-06-23,Online,Very rich them life next.,161.25,30.42,9.99
2025-05-22,Radio,Draw recently.,102.32,49.14,5.9
bnno6snF,TV,Happy watch.,29.28,43.66,6.15
2025-06-16,Radio,Understand protect.,185.17,85.17,7.82
2025-07-01,Radio,Indeed nice thus.,11.35,4.59,8.68
2025-04-21,Online,Have no usually each.,126.27,76.27,4.46
2025-05-25,Online,Action interest already.,159.46,54.3,1.67
2025-06-12,TV,So door.,40.68,67.27,7.78
2025-05-23,TV,Smile staff break although.,158.82,56.4,9.06
2025-06-07,Online,Customer argue work represent.,135.78,16.29,3.47
2025-04-23,Print,Open community lead.,112.77,96.23,2.36
2025-05-05,,Run right.,132.91,54.66,6.7
2025-06-01,Radio,Nation structure smile.,97.46,55.05,1.11
2025-05-13,Radio,Thus media pattern.,155.72,0.99,8.19
2025-05-14,Radio,Personal century.,56.47,15.12,3.82
2025-04-30,Print,Vote region magazine art.,118.8,53.91,4.88
2025-07-11,Radio,Short movement guy clear.,152.47,73.53,8.25
2025-06-30,Print,Word sure.,132.66,71.9,9.77
2025-05-07,Radio,Cultural suffer.,98.26,87.62,4.44
2025-05-08,TV,Actually common money.,64.6,5.8,6.99
2025-06-24,Online,How beat different.,135.74,78.64,7.34
2025-05-01,TV,Person voice traditional.,187.17,71.11,9.39
2025-05-16,Online,Know summer interest foreign.,71.52,42.44,5.36
2025-06-12,Radio,Democrat value stand.,16.96,11.82,5.56
2025-06-13,Radio,Serious forward across.,48.38,53.19,7.88
2025-07-09,Print,Start perhaps like.,72.24,50.3,8.95
2025-07-03,TV,The as term.,52.19,11.08,5.39
2025-06-24,Radio,Fire produce argue.,80.7,15.13,3.5
2025-05-10,Radio,Others close drug forward.,61.43,30.09,2.6
2025-05-02,Print,Environment old specific he.,50.22,72.87,9.23
2025-04-29,Print,Heart hold baby.,140.46,13.08,8.83
2025-05-24,Radio,Act summer budget.,50.06,5.9,7.53
2025-06-22,Print,,11.29,46.85,5.02
2025-07-09,Radio,Issue practice thank.,118.97,,2.7
2025-04-16,Online,Next family common cut.,18.02,44.49,2.1
2025-07-02,Print,Color reality dog economic.,108.35,96.87,6.99
2025-06-07,Online,Long understand analysis.,75.01,64.4,9.8
2025-05-11,Print,Simple like week public respond.,133.98,67.73,7.84
2025-05-15,Print,Director go opportunity.,68.57,7.12,1.68
2025-05-16,TV,Service should.,73.15,44.78,7.02
2025-05-21,Print,Poor such decision.,166.42,44.27,8.49
2025-07-11,Print,Board language each present part.,43.1,75.06,4.12
2025-07-09,Online,Just perform.,109.58,22.24,3.94
2025-04-24,Radio,Exist clear benefit.,136.41,99.54,1.83
2025-05-21,Online,Range culture foot or new.,26.69,80.12,6.85
2025-07-12,Print,Moment clear story forget.,62.29,79.71,2.76
2025-04-15,Online,Admit nor instead carry.,151.14,70.9,2.93
2025-07-12,TV,Firm treatment effect southern attention.,185.51,96.17,3.5
2025-04-17,Radio,Suggest group spring.,20.79,60.74,8.93
,Online,Study we oil.,153.54,31.5,9.85
2025-05-31,TV,Growth bank center.,145.02,48.26,5.85
