user_id,age,gender,location,interests,ad_id,ad_category,ad_platform,ad_type,impressions,clicks,conversion,time_spent_on_ad,day_of_week,device_type,engagement_score
U0001,58,M,USA,Food,A0001,Sportswear,Facebook,Image,3,0,0,3.38,Friday,Mobile,0.02
U0002,55,F,USA,Tech,A0002,Electronics,Facebook,Image,9,9,1,6.77,Saturday,Tablet,0.93
U0003,52,F,UK,Gaming,A0003,Luggage,Instagram,Image,13,12,1,13.26,Wednesday,Mobile,0.93
U0004,31,F,USA,Tech,A0004,Gadgets,Facebook,Video,14,5,0,24.41,Saturday,Desktop,0.28
U0005,52,M,India,Tech,A0005,Luggage,Instagram,Carousel,10,5,0,21.43,Monday,Tablet,0.35
U0006,32,F,USA,Fashion,A0006,Electronics,Instagram,Video,8,5,1,11.3,Saturday,Desktop,0.77
U0007,59,M,Germany,Food,A0007,Apparel,Facebook,Image,8,6,1,27.84,Saturday,Tablet,0.88
U0008,32,Other,Canada,Tech,A0008,Apparel,Facebook,Video,7,4,1,27.48,Friday,Tablet,0.79
U0009,38,M,Australia,Gaming,A0009,Gadgets,Instagram,Image,5,1,1,17.28,Wednesday,Tablet,0.59
U0010,55,F,Germany,Gaming,A0010,Sportswear,Facebook,Image,9,7,1,2.37,Monday,Mobile,0.8
U0011,58,M,Australia,Gaming,A0011,Luggage,Facebook,Video,7,7,0,29.16,Sunday,Mobile,0.6
U0012,25,Other,Germany,Fitness,A0012,Food & Beverage,Instagram,Image,5,3,1,1.09,Saturday,Tablet,0.71
U0013,34,Other,UK,Travel,A0013,Electronics,Instagram,Carousel,9,9,1,11.84,Tuesday,Tablet,0.96
U0014,51,M,Germany,Fitness,A0014,Gadgets,Facebook,Image,15,11,0,25.12,Wednesday,Mobile,0.47
U0015,21,M,Germany,Tech,A0015,Electronics,Instagram,Image,13,8,0,4.72,Thursday,Tablet,0.33
U0016,28,F,Germany,Travel,A0016,Gadgets,Facebook,Carousel,13,11,0,21.68,Thursday,Tablet,0.52
U0017,59,F,India,Travel,A0017,Gadgets,Facebook,Image,4,0,0,1.69,Friday,Tablet,0.01
U0018,32,Other,UK,Tech,A0018,Electronics,Facebook,Image,2,0,0,4.3,Monday,Tablet,0.02
U0019,33,F,Australia,Gaming,A0019,Apparel,Facebook,Carousel,15,15,1,14.72,Thursday,Mobile,0.97
U0020,24,M,Australia,Gaming,A0020,Sportswear,Instagram,Video,8,0,0,3.37,Saturday,Mobile,0.02
U0021,21,F,Australia,Fitness,A0021,Electronics,Facebook,Image,4,4,1,13.23,Wednesday,Desktop,0.97
U0022,33,M,India,Travel,A0022,Electronics,Facebook,Carousel,9,0,0,4.84,Sunday,Mobile,0.02
U0023,28,F,India,Gaming,A0023,Apparel,Instagram,Image,3,3,1,12.32,Sunday,Desktop,0.96
U0024,36,F,Australia,Food,A0024,Luggage,Instagram,Image,4,2,1,2.7,Saturday,Tablet,0.66
U0025,21,Other,Canada,Tech,A0025,Electronics,Instagram,Carousel,15,5,1,15.73,Sunday,Mobile,0.65
U0026,22,Other,USA,Food,A0026,Apparel,Instagram,Image,15,7,0,2.15,Monday,Desktop,0.24
U0027,60,Other,Germany,Travel,A0027,Sportswear,Instagram,Image,11,11,1,8.7,Tuesday,Tablet,0.94
