date,platform,campaign_id,impressions,clicks,conversions,spend,cpm,cpc,cpa
2025-06-03,Meta Ads,042de005-c7e4-4e39-a2bf-0e61b6639e46,78326.0,30555.0,804.0,618.58,7.9,0.02,0.77
2025-06-17,LinkedIn,a498f652-f149-4a9b-825e-96d62505b0cb,10474.0,,3130.0,2672.3,255.14,0.3,0.85
2025-04-27,Google Ads,4061e10c-d64b-4c40-865c-9260d41e0efa,21513.0,592.0,561.0,3018.25,140.3,5.1,5.38
2025-05-24,Meta Ads,5e7ed333-841e-4297-ba22-0e9ad1b75589,17401.0,10855.0,3392.0,987.4,56.74,0.09,0.29
2025-07-03,Twitter,eb1beecb-c0d9-4193-a862-66b5403655b3,79144.0,33819.0,24525.0,4472.02,LfNieqYU,0.13,0.18
2025-06-02,Google Ads,08e48c66-1e4d-4c73-87bf-8617024ff380,33873.0,19315.0,16406.0,2449.99,72.33,0.13,0.15
2025-04-18,Google Ads,bfed4f5d-cbe2-40f9-82c8-42d3d412a4c6,49253.0,13496.0,2600.0,5550.18,112.69,0.41,2.13
2025-06-03,Google Ads,5cfad79e-5c09-4502-a561-4641e7a787f5,57245.0,54093.0,52252.0,247.23,4.32,0.0,0.0
2025-05-17,Twitter,66ff2216-d6e1-49c7-8be1-d9996aa1cb77,55555.0,21564.0,21359.0,2285.9,41.15,0.11,0.11
2025-07-05,Meta Ads,830e048e-23e5-4e0d-b02c-f872a66c70a9,44271.0,16849.0,5610.0,,32.75,0.09,0.26
2025-04-16,Meta Ads,3a89d433-adb9-4d29-8d9b-fe9c93faf05e,21344.0,18739.0,18385.0,559.11,26.2,0.03,0.03
2025-07-05,LinkedIn,86a482c0-d307-4458-90d3-501361b9cf24,64595.0,40453.0,27052.0,3780.99,58.53,0.09,0.14
2025-05-02,Twitter,3ae8b8c7-7fd1-4c41-8a9d-599c43e672da,40072.0,,903.0,7338.93,183.14,1.07,8.13
2025-04-17,Twitter,3b48319f-66f5-4326-8543-1a69068efdf9,93234.0,24753.0,4313.0,3136.28,33.64,0.13,0.73
2025-07-01,Google Ads,483d177e-64d6-4c2f-9b95-3ab177b62742,33959.0,18901.0,14935.0,3114.88,91.72,0.16,0.21
2025-06-21,Google Ads,51fe2cac-dad9-46f9-8307-580585d6f262,60861.0,58817.0,8094.0,1806.7,29.69,0.03,0.22
2025-04-30,Twitter,c1db3a95-fffa-4096-ac47-2149e0ba451f,15975.0,9181.0,224.0,4092.31,256.17,0.45,18.27
2025-07-06,Meta Ads,1decc414-6d4f-4966-8699-23b73648ddfc,22404.0,7707.0,995.0,9582.67,427.72,1.24,9.63
2025-05-08,LinkedIn,03db689a-8950-4195-bfd6-d42aa50838f5,34968.0,22424.0,2341.0,2571.21,73.53,0.11,1.1
2025-05-03,Twitter,13b01cae-3d20-41a3-8864-714229cca051,63353.0,54117.0,754.0,3337.3,52.68,0.06,4.43
2025-05-26,Twitter,addec053-1d1a-4de4-a503-f9e64645ca0a,59167.0,18968.0,10075.0,1738.11,29.38,0.09,0.17
2025-05-14,Meta Ads,49772419-aa42-495a-b391-06796fdc4fff,97855.0,71912.0,43037.0,3742.25,38.24,0.05,0.09
2025-05-22,LinkedIn,9371d86f-73cd-4e9b-8c43-0371eed46a7a,74899.0,43445.0,16404.0,7615.18,101.67,0.18,0.46
2025-06-05,LinkedIn,2dd2e1da-9c24-4b29-a4a8-afb5bbe46470,14206.0,8924.0,3095.0,8700.57,612.46,0.97,2.81
2025-05-01,LinkedIn,53df7c5f-0c3c-402a-87c0-b55cab35c1dd,75503.0,13182.0,11560.0,2520.16,33.38,0.19,0.22
2025-04-30,Twitter,87a74d08-bd25-478f-b317-2b7237413e6d,77216.0,75215.0,69622.0,3152.64,40.83,0.04,0.05
2025-06-26,Twitter,8ed7eb97-bb87-4f40-9711-7aa2bbb92299,78625.0,19566.0,6324.0,4077.54,51.86,0.21,0.64
2025-06-18,Twitter,a845c2ae-3ae1-40d3-9ce0-dd6e62293d6d,26557.0,25418.0,24694.0,8116.52,305.63,0.32,0.33
2025-06-17,Meta Ads,3eddac3e-1260-4aab-8e57-ce5d35652913,61399.0,17314.0,14503.0,73.25,1.19,0.0,0.01
2025-04-30,Twitter,5b0c5b98-a937-4348-99c6-198660a29794,87231.0,26133.0,21575.0,1347.67,15.45,QLs9EfrT,0.06
2025-06-26,Meta Ads,fdea8b0f-0764-4dc8-8712-028232c5d8da,THSu6fvk,29877.0,1959.0,5155.88,171.89,0.17,2.63
2025-06-23,Meta Ads,faf9631a-3ca2-436f-bb6f-9325b414fe98,1575.0,860.0,173.0,5765.96,3660.93,6.7,33.33
2025-05-08,Meta Ads,24724e6d-1aef-4a2f-bad6-feeb2c4732ef,45918.0,32533.0,12160.0,9673.93,210.68,0.3,0.8
2025-06-17,Meta Ads,f2a3447c-8bd9-481a-a0d4-5be01f0e4eb1,44917.0,437.0,300.0,5632.34,125.39,12.89,18.77
2025-04-15,Twitter,b427b681-b4e3-4de7-baac-0700faf0e20f,710.0,627.0,106.0,6233.03,8778.92,9.94,58.8
2025-05-03,LinkedIn,d0c57d38-e5e7-4258-9eaf-62fd18add09b,27469.0,14255.0,6119.0,8301.73,302.22,0.58,1.36
2025-06-27,Twitter,0aff99f8-7e26-4092-b977-61431b2dfe58,93128.0,65812.0,16199.0,917.81,9.86,0.01,0.06
