date,metric_value
2024-07-15 10:12:12.899521,2085.0
2024-07-16 10:12:12.899521,5385.0
2024-07-17 10:12:12.899521,3861.0
2024-07-18 10:12:12.899521,4229.0
2024-07-19 10:12:12.899521,549.0
2024-07-20 10:12:12.899521,374.0
2024-07-21 10:12:12.899521,9260.0
2024-07-22 10:12:12.899521,8419.0
2024-07-23 10:12:12.899521,3383.0
2024-07-24 10:12:12.899521,811.0
2024-07-25 10:12:12.899521,9355.0
2024-07-26 10:12:12.899521,6305.0
2024-07-27 10:12:12.899521,5748.0
2024-07-28 10:12:12.899521,8548.0
2024-07-29 10:12:12.899521,7242.0
2024-07-30 10:12:12.899521,4254.0
2024-07-31 10:12:12.899521,1393.0
2024-08-01 10:12:12.899521,2049.0
2024-08-02 10:12:12.899521,1616.0
2024-08-03 10:12:12.899521,3904.0
2024-08-04 10:12:12.899521,5788.0
2024-08-05 10:12:12.899521,2996.0
2024-08-06 10:12:12.899521,3059.0
2024-08-07 10:12:12.899521,9290.0
2024-08-08 10:12:12.899521,4960.0
2024-08-09 10:12:12.899521,6958.0
2024-08-10 10:12:12.899521,3801.0
2024-08-11 10:12:12.899521,818.0
2024-08-12 10:12:12.899521,5913.0
2024-08-13 10:12:12.899521,4499.0
2024-08-14 10:12:12.899521,6122.0
2024-08-15 10:12:12.899521,5259.0
2024-08-16 10:12:12.899521,6446.0
2024-08-17 10:12:12.899521,5890.0
2024-08-18 10:12:12.899521,8503.0
2024-08-19 10:12:12.899521,3691.0
2024-08-20 10:12:12.899521,8259.0
2024-08-21 10:12:12.899521,2432.0
2024-08-22 10:12:12.899521,
2024-08-23 10:12:12.899521,7740.0
2024-08-24 10:12:12.899521,243.0
2024-08-25 10:12:12.899521,3079.0
2024-08-26 10:12:12.899521,6022.0
2024-08-27 10:12:12.899521,6901.0
2024-08-28 10:12:12.899521,7749.0
2024-08-29 10:12:12.899521,587.0
2024-08-30 10:12:12.899521,9269.0
2024-08-31 10:12:12.899521,860.0
2024-09-01 10:12:12.899521,7142.0
2024-09-02 10:12:12.899521,9699.0
2024-09-03 10:12:12.899521,1285.0
2024-09-04 10:12:12.899521,9774.0
2024-09-05 10:12:12.899521,7256.0
2024-09-06 10:12:12.899521,2696.0
2024-09-07 10:12:12.899521,2943.0
2024-09-08 10:12:12.899521,9858.0
2024-09-09 10:12:12.899521,6961.0
2024-09-10 10:12:12.899521,2101.0
2024-09-11 10:12:12.899521,7781.0
2024-09-12 10:12:12.899521,565.0
2024-09-13 10:12:12.899521,1753.0
2024-09-14 10:12:12.899521,634.0
2024-09-15 10:12:12.899521,7370.0
2024-09-16 10:12:12.899521,7888.0
2024-09-17 10:12:12.899521,3456.0
2024-09-18 10:12:12.899521,2164.0
2024-09-19 10:12:12.899521,2294.0
2024-09-20 10:12:12.899521,9767.0
2024-09-21 10:12:12.899521,8218.0
2024-09-22 10:12:12.899521,3476.0
2024-09-23 10:12:12.899521,7780.0
2024-09-24 10:12:12.899521,2265.0
2024-09-25 10:12:12.899521,4260.0
2024-09-26 10:12:12.899521,3340.0
2024-09-27 10:12:12.899521,394.0
2024-09-28 10:12:12.899521,2735.0
2024-09-29 10:12:12.899521,5809.0
2024-09-30 10:12:12.899521,8430.0
2024-10-01 10:12:12.899521,7884.0
2024-10-02 10:12:12.899521,4749.0
2024-10-03 10:12:12.899521,4288.0
2024-10-04 10:12:12.899521,4862.0
2024-10-05 10:12:12.899521,3486.0
2024-10-06 10:12:12.899521,6331.0
2024-10-07 10:12:12.899521,4280.0
2024-10-08 10:12:12.899521,236.0
2024-10-09 10:12:12.899521,2969.0
2024-10-10 10:12:12.899521,958.0
2024-10-11 10:12:12.899521,7111.0
2024-10-12 10:12:12.899521,1788.0
2024-10-13 10:12:12.899521,7947.0
2024-10-14 10:12:12.899521,7533.0
2024-10-15 10:12:12.899521,5478.0
2024-10-16 10:12:12.899521,856.0
2024-10-17 10:12:12.899521,8978.0
2024-10-18 10:12:12.899521,5004.0
2024-10-19 10:12:12.899521,8014.0
2024-10-20 10:12:12.899521,272.0
2024-10-21 10:12:12.899521,6602.0
2024-10-22 10:12:12.899521,6341.0
2024-10-23 10:12:12.899521,9655.0
2024-10-24 10:12:12.899521,3316.0
2024-10-25 10:12:12.899521,4162.0
2024-10-26 10:12:12.899521,2308.0
2024-10-27 10:12:12.899521,4971.0
2024-10-28 10:12:12.899521,742.0
2024-10-29 10:12:12.899521,7315.0
2024-10-30 10:12:12.899521,4751.0
2024-10-31 10:12:12.899521,9081.0
2024-11-01 10:12:12.899521,4526.0
2024-11-02 10:12:12.899521,3384.0
2024-11-03 10:12:12.899521,8959.0
2024-11-04 10:12:12.899521,1697.0
2024-11-05 10:12:12.899521,3967.0
2024-11-06 10:12:12.899521,9897.0
2024-11-07 10:12:12.899521,8336.0
2024-11-08 10:12:12.899521,7228.0
2024-11-09 10:12:12.899521,527.0
2024-11-10 10:12:12.899521,2271.0
