date,source,page_views,sessions,bounce_rate,likes,shares,comments
2025-06-12,LinkedIn,20173.0,4866.0,50.94,8942.0,1249.0,2553.0
2025-06-25,Facebook,23636.0,8595.0,30.64,2672.0,3195.0,1184.0
2025-06-09,Instagram,9454.0,1277.0,92.29,6133.0,529.0,2490.0
2025-07-12,Twitter,21225.0,17803.0,13.7,319.0,3559.0,420.0
2025-05-09,Instagram,296.0,,10.93,8655.0,1527.0,2192.0
2025-05-16,Twitter,23663.0,15006.0,32.32,7199.0,3085.0,1085.0
2025-05-27,Facebook,OGfBDE9c,15.0,91.36,5612.0,3384.0,1888.0
2025-05-21,Facebook,19150.0,5075.0,89.1,606.0,1594.0,
2025-07-01,Facebook,14859.0,10968.0,55.88,2075.0,2797.0,1598.0
2025-06-03,Website,19518.0,8231.0,57.82,7706.0,2255.0,2211.0
2025-05-23,Facebook,15291.0,1313.0,83.67,6251.0,2280.0,1335.0
2025-05-01,LinkedIn,38561.0,35444.0,3.34,8229.0,1766.0,1649.0
2025-06-14,LinkedIn,5714.0,4319.0,83.23,8975.0,2380.0,144.0
2025-04-29,Instagram,9223.0,3901.0,10.55,8771.0,1695.0,2408.0
2025-07-09,Facebook,44783.0,4346.0,65.1,3182.0,2283.0,1876.0
2025-04-19,Instagram,38565.0,16618.0,49.17,1387.0,542.0,2343.0
2025-06-24,Website,18133.0,17203.0,44.89,7709.0,1139.0,1356.0
2025-06-23,Instagram,2058.0,1334.0,38.13,4037.0,1495.0,2973.0
2025-05-04,Twitter,34202.0,13407.0,24.13,5878.0,4829.0,1693.0
2025-06-01,Website,46393.0,42961.0,44.39,9573.0,2510.0,825.0
2025-06-03,Twitter,4596.0,2913.0,72.32,4505.0,1524.0,726.0
,Instagram,22408.0,14288.0,18.15,48.0,1720.0,951.0
2025-07-02,LinkedIn,36127.0,12302.0,28.03,3655.0,2721.0,1470.0
2025-06-16,Facebook,2005.0,1655.0,89.16,2584.0,40.0,1349.0
2025-06-16,Instagram,23815.0,18671.0,95.84,5403.0,2082.0,1055.0
2025-05-07,Twitter,15201.0,11289.0,39.32,7802.0,3564.0,56.0
2025-05-30,Facebook,45057.0,11161.0,37.66,7873.0,293.0,1847.0
2025-06-19,Facebook,20183.0,2468.0,56.91,3603.0,4364.0,698.0
2025-06-19,Website,9459.0,8587.0,65.52,1203.0,909.0,1291.0
2025-05-26,Facebook,20965.0,15136.0,10.76,8750.0,2648.0,481.0
2025-06-19,Website,5286.0,268.0,82.1,1449.0,4522.0,208.0
2025-05-02,Facebook,38456.0,28663.0,3.23,7503.0,3011.0,931.0
2025-06-26,LinkedIn,32232.0,,2.38,8934.0,2583.0,1242.0
2025-07-11,Website,43690.0,12656.0,71.87,7248.0,4466.0,2382.0
2025-04-22,Twitter,46541.0,32089.0,34.12,5655.0,2890.0,27.0
2025-06-17,Facebook,37466.0,11345.0,34.9,8448.0,2943.0,2713.0
2025-05-15,Facebook,18274.0,16252.0,,4601.0,87.0,2106.0
2025-05-15,LinkedIn,6009.0,96.0,56.04,8475.0,2173.0,1412.0
2025-06-07,LinkedIn,5294.0,1730.0,61.2,7053.0,311.0,960.0
2025-04-28,LinkedIn,11046.0,7787.0,60.98,5220.0,979.0,264.0
2025-06-08,LinkedIn,36750.0,4933.0,59.91,3322.0,4462.0,2828.0
2025-04-18,Website,31118.0,5165.0,97.82,8342.0,3103.0,2926.0
2025-05-18,LinkedIn,4468.0,1033.0,30.42,7438.0,1365.0,2281.0
2025-06-18,Facebook,15193.0,13292.0,94.43,4646.0,2717.0,2543.0
