campaign_item_id,no_of_days,time,ext_service_id,ext_service_name,creative_id,creative_width,creative_height,search_tags,template_id,landing_page,advertiser_id,advertiser_name,network_id,approved_budget,advertiser_currency,channel_id,channel_name,max_bid_cpm,network_margin,campaign_budget_usd,impressions,clicks,stats_currency,currency_code,exchange_rate,media_cost_usd,position_in_content,unique_reach,total_reach,search_tag_cat,cmi_currency_code,timezone,weekday_cat,keywords
2733,7,2022-05-01,128,Facebook Ads,1000,300.0,250.0,#The Power of X,90.0,https://www.abcjewelry.com/collections/boho-jewelry-for-women,4756,Web,190,400.0,SGD,32,Mobile,,0.0,652.173913,837,8,SGD,SGD,1,14.058514,,,,Others,SGD,Asia/Singapore,week_end,delicate bracelets
2733,8,2022-05-02,16,DV360,1000,300.0,250.0,#Be Bold. Be X,90.0,https://www.abcjewelry.com/women/costume-jewelry/,4756,Web,190,400.0,SGD,8,Social,,0.0,652.173913,2634,44,SGD,SGD,1,99.633496,,,,Others,SGD,Asia/Singapore,week_day,summer jewelry
2733,9,2022-05-03,128,Facebook Ads,1000,300.0,250.0,#Embrace Your Individuality with X,90.0,https://www.abcjewelry.com/collections/boho-jewelry-for-women,4756,Web,190,400.0,SGD,8,Social,,0.0,652.173913,2135,32,SGD,SGD,1,109.419677,,,,Others,SGD,Asia/Singapore,week_day,artisan jewelry
2733,10,2022-05-04,128,Facebook Ads,1000,300.0,250.0,#Be Bold. Be X,90.0,https://www.abcjewelry.com/collections/rhinestone-jewelry-for-women,4756,Web,190,400.0,SGD,64,Video,,0.0,652.173913,2327,48,SGD,SGD,1,115.209499,,,,Others,SGD,Asia/Singapore,week_day,layered bracelets
2733,11,2022-05-05,4,Google Ads,1000,300.0,250.0,#Be Bold. Be X,90.0,https://www.abcjewelry.com/collections/boho-jewelry-for-women,4756,Web,190,400.0,SGD,32,Mobile,,0.0,652.173913,1538,20,SGD,SGD,1,66.990104,,,,Others,SGD,Asia/Singapore,week_day,minimalist jewelry
2766,53,2022-05-31,4,Google Ads,1005,0.0,0.0,#Be Bold. Be X,23.0,https://www.abcjewelry.com/collections,5191,Brand,287,1000.0,USD,8,Social,1.0,0.0,760.0,813,11,USD,USD,1,35.673124,,,,Youtube,USD,America/New_York,week_day,beaded bracelets
2766,54,2022-06-01,4,Google Ads,1005,0.0,0.0,#The Ultimate Fashion Statement with X,23.0,https://www.abcjewelry.com/collections/gemstone-jewelry-for-women,5191,Brand,287,1000.0,USD,32,Mobile,1.0,0.0,760.0,876,18,USD,USD,1,43.150656,,,,Youtube,USD,America/New_York,week_day,bridal jewelry
2766,55,2022-06-02,16,DV360,1005,0.0,0.0,#The Ultimate Fashion Statement with X,23.0,https://www.abcjewelry.com/collections/statement-necklaces-for-women,5191,Brand,287,1000.0,USD,1,Display,1.0,0.0,760.0,790,12,USD,USD,1,31.436393,,,,Youtube,USD,America/New_York,week_day,unique and trendy jewelry
2766,56,2022-06-03,16,DV360,1005,0.0,0.0,#The X Factor - Fashion for the Fearless,23.0,https://www.abcjewelry.com/collections/bold-jewelry-for-women,5191,Brand,287,1000.0,USD,4,Search,1.0,0.0,760.0,569,5,USD,USD,1,5.409166,,,,Youtube,USD,America/New_York,week_day,clip-on earrings
2766,57,2022-06-04,128,Facebook Ads,1005,0.0,0.0,#Be Bold. Be X,23.0,https://www.abcjewelry.com/collections/hoop-earrings-for-women,5191,Brand,287,1000.0,USD,4,Search,1.0,0.0,760.0,577,8,USD,USD,1,5.965384,,,,Youtube,USD,America/New_York,week_day,bohemian jewelry
